webId,erpProductId,erpSku,erpName,siteName,siteSlug,collection,sitePriceToman,isNew,nameDiffers
MOAK-YEK-BLACK,cmjsn4atb001gflka5moqk22d,YEK/BLK,"YEK - Black","YEK - Black",yek-blacyek-black-minimal-eco-friendly-sunglasses,"ON A MISSION",5200000,,
MOAK-YEK-SAFARI,cmjsn4ac2001fflkay7wvo6ye,YEK/SAFR,"YEK - Safari","YEK - Safari",yek-havana,"ON A MISSION",5200000,,
MOAK-YEK-BROWN,cmjsn49t8001eflkaoa8ey3pl,YEK/BRWN,"YEK - Brown","YEK - Brown",yek-brown,"ON A MISSION",5200000,,
MOAK-DO-BLACK,cmjsn49c4001dflkatzqf8i24,DO/BLK,"DO - Black","DO - Black",do-black-classic-balanced-sunglasses-tr90,"ON A MISSION",9100000,,
MOAK-DO-TRANSPARENT,cmjsn48lb001cflka1cucicll,DO/TRNS,"DO - Transparent","DO - Transparent",do-transparent-balanced-sunglasses-tr90,"ON A MISSION",9100000,,
MOAK-DO-BROWN,cmjsn4840001bflkamb7hme2l,DO/BRWN,"DO - Brown","DO - Brown",do-brown-balanced-sunglasses,"ON A MISSION",9100000,,
MOAK-SE-BROWN,cmjsn47ms001aflkauxnqsuuy,SE/BRWN,"SE - Brown","SE - Brown",se-brown-retro-round-sunglasses-tr90,"ON A MISSION",9400000,,
MOAK-SE-BLACK,cmjsn46tt0019flkaztgtxkem,SE/BLK,"SE - Black","SE - Black",se-black-retro-round-sunglasses-tr90,"ON A MISSION",9400000,,
MOAK-CHAR-BLACK,cmjsn46820018flkaix034lam,CHAR/BLK,"CHAR - Black","CHAR - Black",char-black-oval-90s-nostalgic-sunglasses,"ON A MISSION",10500000,,
MOAK-CHAR-TRANSPARENT,cmjsn45r00017flka22780xo7,CHAR/TRNS,"CHAR -  Transparent","CHAR -  Transparent",char-transparent-oval-nostalgic-90s-sunglasses,"ON A MISSION",10500000,,
MOAK-PANJ-BLUE,cmjsn45970016flka4irfmsrj,PANJ/BLUE,"PANJ - Blue","PANJ - Blue",panj-blue-transparent-square-sunglasses-tr90,"ON A MISSION",15700000,,
MOAK-PANJ-HAVANA,cmjsn44l00015flkagbnz0tgu,PANJ/HAVANA,"PANJ - Havana","PANJ - Havana",panj-havana-tortoiseshell-green-lens-sunglasses,"ON A MISSION",15700000,,
MOAK-PANJ-TRANSPARENT,cmjsn43z80014flkaoe10cz31,PANJ/TRNS,"PANJ - Transparent","PANJ - Transparent",panj-transparent-grey-square-uv400-sunglasses,"ON A MISSION",15700000,,
MOAK-HAFT-BLACK,cmjsn43d00013flka3atwqrna,HAFT/BLK,"HAFT - Black","HAFT - Black",haft-black-cat-eye-matte-sunglasses,"ON A MISSION",9800000,,
MOAK-HAFT-GREEN,cmjsn42vl0012flkaaxhp7f4o,HAFT/GREN,"HAFT - Green","HAFT - Green",haft-green-transparent-cat-eye-sunglasses,"ON A MISSION",9800000,,
MOAK-HAFT-TRANSPARENT,cmjsn42ec0011flkapk44vp86,HAFT/TRNS,"HAFT - Transparent","HAFT - Transparent",haft-grey-transparent-cat-eye-tr90-sunglasses,"ON A MISSION",9800000,,
MOAK-HASHT-BLUE,cmjsn41w50010flka5p4i4cwk,HASHT/BLUE,"HASHT - Blue","HASHT - Blue",hasht-sky-blue-square-tr90-sunglasses,"ON A MISSION",7200000,,
MOAK-HASHT-BROWN,cmjsn41af000zflka1w4seubk,HASHT/BRWN,"HASHT - Brown","HASHT - Brown",hasht-brown,"ON A MISSION",7200000,,
MOAK-265OW-BLACK,cmjsn40oo000yflka1wyo6qy3,265W/BLK,"265ºW - Black","265ºW - Black",265ow-black,"ON A MISSION",14700000,,
MOAK-265OW-BLUE,cmjsn404r000xflkatpqbqpc3,265W/BLUE,"265ºW - Blue","265ºW - Blue",265ow-blue,"ON A MISSION",14700000,,
